Lead ID	Business	Country	Area	Industry	Offer	Priority	Stage	Business phone	Business email	Website	Website status	Google rating	Google reviews	Source URL	Google profile	Business social	Observed signal	Proposed solution	Formation or launch evidence	Checked on	Contact evidence	Owner	First contact	Last contact	Next follow-up	Reply or outcome	Budget	Currency	Do not contact	Notes	Next action
SYN-7705F24F	I Am Real Estate	United Kingdom	London	Property services	AI automation	Discovery	Not contacted	0203 026 9518	hello@iamrealestate.co.uk	https://iamrealestate.co.uk/	Live company website			https://iamrealestate.co.uk/property-management/			Publishes tenant enquiry handling and repair coordination.	Enquiry classification, draft updates and repair follow-up reminders.	Not verified	2026-09-08	Published on company website; deliverability not tested							GBP	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-D7215689	Realty Management	United Kingdom	Manchester	Property services	AI automation	Discovery	Not contacted	03300 537107	info@realtymgt.co.uk	https://www.realtymgt.co.uk/	Live company website			https://www.realtymgt.co.uk/contact/			Contact page handles property questions and includes recurring document FAQs.	Triage enquiries and draft FAQ replies with staff approval.	Not verified	2026-09-08	Published on company website; deliverability not tested							GBP	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-27FAD1BD	Blue Crystal Property Management	United Kingdom	London	Property services	AI automation	Discovery	Not contacted	020 8994 7327	pm@bluecrystallondon.co.uk	https://bluecrystallondon.co.uk/	Live company website			https://bluecrystallondon.co.uk/successful-property-management/			Describes tenant communication, maintenance and rent collection.	Maintenance intake and owner-update drafts; assess existing software first.	Not verified	2026-09-08	Published on company website; deliverability not tested							GBP	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-4B404B8F	Collinson Hall	United Kingdom	St Albans	Property services	AI automation	Discovery	Not contacted	01727 843 222		https://www.collinsonhall.co.uk/	Live company website			https://www.collinsonhall.co.uk/landlords/property-management-services-in-st-albans			Describes inspections, contractor invoices and monthly or quarterly statements.	Document collection reminders and report preparation with review.	Not verified	2026-09-08	Published on company website; deliverability not tested							GBP	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-2605B454	Metro Property Management	Australia	Melbourne	Property services	AI automation	Discovery	Not contacted	(03) 9831 3000		https://metropm.com.au/	Live company website			https://metropm.com.au/tenants/maintenance-requests/			Maintenance intake already uses an online portal.	Assess reporting or follow-up integrations around the existing portal.	Not verified	2026-09-08	Published on company website; deliverability not tested							AUD	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-FDF7C22C	Emerge Realty	Australia	Brisbane	Property services	AI automation	Discovery	Not contacted	07 3844 8339	rentals@emergerealty.com.au	https://emergerealty.com.au/	Live company website			https://emergerealty.com.au/tenants/tenants-2/			Publishes maintenance chat and rental email; team is often out at properties.	Triage routine inbox questions and draft updates alongside existing chat.	Not verified	2026-09-08	Published on company website; deliverability not tested							AUD	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-E141A9F4	Hubert Hausverwaltung GmbH	Germany	Berlin	Property services	AI automation	Discovery	Not contacted	'+49 (0)30 411 10 11	hausverwaltung@hubert.gmbh	https://www.hubert-hausverwaltung-berlin.de/	Live company website			https://www.hubert-hausverwaltung-berlin.de/impressum-kontakt/			Publishes customer portal, vendor telephone hours and business email.	Assess portal-to-inbox routing and supplier follow-up reminders.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-7D5315E5	Tondo Immobilienmanagement	Germany	Berlin	Property services	AI automation	Discovery	Not contacted	'+49 30 814 711 140	info@tondo-berlin.com	https://tondo-berlin.com/	Live company website			https://tondo-berlin.com/kontakt/			Separates property enquiries from general business correspondence into different inboxes.	Classify and route incoming enquiries with staff review.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-092DFCC4	Berlinhaus Verwaltung GmbH	Germany	Berlin	Property services	AI automation	Discovery	Not contacted		berlin@berlinhaus.com	https://www.berlinhaus.com/	Live company website			https://www.berlinhaus.com/kontakt/			Publishes separate general, residential and commercial letting email addresses.	Classify enquiries and assign them to the correct team.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-BCB75BFC	Martina Schaale Hausverwaltungen	Germany	Berlin	Property services	AI automation	Discovery	Not contacted		kontakt@hausverwaltung-berlin.berlin	https://www.hausverwaltung-berlin.berlin/	Live company website			https://www.hausverwaltung-berlin.berlin/kontakt/index.php			Publishes property management contact form and facility-management service.	Assess request intake and maintenance task creation.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
