Lead ID	Business	Country	Area	Industry	Offer	Priority	Stage	Business phone	Business email	Website	Website status	Google rating	Google reviews	Source URL	Google profile	Business social	Observed signal	Proposed solution	Formation or launch evidence	Checked on	Contact evidence	Owner	First contact	Last contact	Next follow-up	Reply or outcome	Budget	Currency	Do not contact	Notes	Next action
SYN-3E266F99	Country Clothing Stamford	United Kingdom	Stamford Garden Centre, Casterton Rd, Stamford PE9 4BB, United Kingdom	Outdoor Clothing and Equipment Shop	Website development	Research	Not contacted	01780 751892	info@countryclothingdirect.com		No website listed in directory; unverified			https://www.bizseek.co.uk/country-clothing-stamford-01780-751892	https://www.google.com/maps/?cid=18365209916106936260	https://www.facebook.com/CountryClothingDirect	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-65BE0A0A	Bibbidi Cake Co.	United Kingdom	King's Lynn, England	Cake Shop, Wedding Bakery	Website development	Research	Not contacted	01553 349358			No website listed in directory; unverified			https://www.bizseek.co.uk/bibbidi-cake-co-01553-349358	https://www.google.com/maps/?cid=7585571951143420306		Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-4970B306	Waggs And Wiggles	United Kingdom	9 Princess street, , Boston, Lincolnshire, E21		Website development	Research	Not contacted	07850 369308	mariaharrison1224@hotmail.com		No website listed in directory; unverified			https://www.bizseek.co.uk/waggs-and-wiggles-07850-369308		https://www.facebook.com/210276462922429/	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-F0CAB8C0	Wrexham Fancy Dress & Party Shop	United Kingdom	14 The Mall, Peoples Market, Wrexham LL13 8BE		Website development	Research	Not contacted	07925 690379			No website listed in directory; unverified			https://www.bizseek.co.uk/wrexham-fancy-dress-party-shop-07925-690379		http://www.facebook.com/pages/Fancy-Dress-Shop/325867007453339	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-468A455D	Kingstanding News	United Kingdom	KINGSTANDING NEWS, 420 Kingstanding Rd, Birmingham B44 9SA, United Kingdom	Convenience stores	Website development	Research	Not contacted	0121 373 5931			No website listed in directory; unverified			https://www.bizseek.co.uk/kingstanding-news_1h-0121-373-5931	https://www.google.com/maps/?cid=18304073343990069940	https://www.yelp.com/biz/kingstanding-news-birmingham	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Directory founding date: 7/22/05; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-8592CDC6	Leanne's Removals	United Kingdom	45 Holborn Road, , Sunderland, Tyne and Wear, SR4 8AR		Website development	Research	Not contacted	0800 511 8091			No website listed in directory; unverified			https://www.bizseek.co.uk/leannes-removals-0800-511-8091		https://www.yelp.com/biz/leannes-removals-sunderland	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-BC9F464C	Furniture Discount Warehouse	United Kingdom	26 Nelson St, Kilmarnock KA1 1BA, United Kingdom	Furniture stores	Website development	Research	Not contacted	01563 571355	david.matthews4@tesco.net		No website listed in directory; unverified			https://www.bizseek.co.uk/furniture-discount-warehouse_2L-01563-571355	https://www.google.com/maps/?cid=1194961890310299085	https://www.facebook.com/914259328643866/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-505A09E2	Very Handy People	United Kingdom	3 Deryn Court, Wharfedale Rd, Pentwyn,, , Cardiff, Wales, CF23 7HA		Website development	Research	Not contacted	029 2067 6730			No website listed in directory; unverified			https://www.bizseek.co.uk/very-handy-people-029-2067-6730		https://www.facebook.com/121423021368123/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							GBP	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-B813583D	London's Latrobe	United States	4427 Old US Hwy 30, Latrobe, PA 15650	Manicures and pedicures, Hair Salon	Website development	Review first	Not contacted	(724) 686-3458	londonsalon107@gmail.com	https://www.vagaro.com/londonssalonlatrobe	Google has no website link; existing Vagaro booking found	4.8	42	https://www.allbiz.com/business/londons-latrobe-724-686-3458	https://www.google.com/maps/?cid=9616845451621589623	https://www.facebook.com/LondonsSalonLatrobe/	Live Google profile displays Add website; matching business social and Vagaro booking appear in web search.	Assess an owned service/portfolio website that links to existing Vagaro booking.	Directory founding date: 2016; registration unverified	2026-09-08	Phone checked on live Google profile; email from directory							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses. Existing booking platform: do not pitch a missing booking system. An edan.io directory page also appears; ownership unverified.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-C1DEDC94	Tip Top	Ireland	49 East Arran Street, , Dublin, Leinster	Other retail sale in non-specialized stores	Website development	Research	Not contacted	(01) 873 1844			No website listed in directory; unverified			https://www.bizireland.com/tip-top_2v-01-873-1844		https://www.yelp.com/biz/tip-top-dublin	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							EUR	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
